key,description,en,ru
shortBreak,,Short break,Короткий перерыв
longBreak,,Long break,Длинный перерыв
autoFocus,,Auto focus,Авто-фокус
autoBreak,,Auto break,Авто-перерыв
trigger,,Trigger,Триггер
triggers,,Triggers,Триггеры
timePeriod,,Time period,Период
reset,,Reset,Сбросить
googleCalendar,,Google Calendar,Google Calendar
googleCalendarBottomSheetText,,Connect to get 2-way sync between {appName} and Google Calendar.,Подключить двустороннюю синхронизацию {appName} с Google Календарем.
inProgress,,In progress,В процессе
level,,Level,Уровень
yetToCome,,Yet to come,Достижение впереди
achieved,,Achieved,Достигнуто
topLevel,,Top-level,Высший уровень
soon,,Soon,Скоро
mindfulSuccessAsALifestyle,,Mindful Success as a Lifestyle,Осознанный успех как образ жизни
more,,More,Подробнее
premiumCardDescription,,Upgrade and get access to all tools and content for a more fulfilling life.,Открыть Премиум и получить доступ ко всем инструментам для улучшения жизни.
shareMeditivity,,Get a companion,Позвать друга
shareMeditivityDescription,,Research shows that people who have a buddy have more chances to succeed in adopting a new lifestyle than those who choose to do it alone.,"Исследования показывают, что у людей, которые достигают целей совместно с кем-то, больше шансов на успех, чем у тех, кто делает это в одиночку."
shareMeditivityMessage,,👋🏽You should try {appName}! It helps you to achieve any goal without stress. Get the app here,👋🏽Попробуй {appName}! Приложение помогает достигать целей без стресса и выгорания. Скачать здесь
support,,Support,Поддержка
deleteOnlyIncomplete,,Delete only incomplete,Удалить только не выполненное
deleteAllHistory,,Delete all history,Удалить всю историю
no,,No,Нет
yes,,Yes,Да
update,,Update,Обновить
updateOnlyTasksAndHabits,,Update only tasks and habits,Обновить только задачи и привычки
updateAll,,Update all,Обновить все
editAnyway,,Edit anyway,Отредактировать в любом случае
thisEntity,,This,Это
alreadyAdded,,has already been added to your to-do list.,уже добавлено в ваш список дел.
showOriginal,,Show original,Показать оригинал
showLastCopy,,Show the last copy,Показать последнюю копию
makeCopy,,Make a copy,Сделать копию
makeOneMoreCopy,,Make one more copy,Сделать еще одну копию
premiumContent,,Premium content,Премиум контент
premiumContentDescriptionGoal,,"You can see your progress history. To edit and keep working on this goal, please renew your subscription.","Вы можете видеть историю своего прогресса. Чтобы отредактировать и продолжить работать над целью, пожалуйста, продлите подписку."
premiumContentDescriptionHabit,,"You can see your progress history. To edit and keep tracking this habit, please renew your subscription.","Вы можете видеть историю своего прогресса. Чтобы отредактировать и продолжить отслеживать привычку, пожалуйста, продлите подписку."
premiumContentDescriptionTask,,"To edit or complete this task, please renew your subscription.","Чтобы отредактировать или выполнить эту задачу, пожалуйста, продлите подписку."
premiumContentDescriptionMeditation,,"You can see your progress history. To keep practicing this meditation, please renew your subscription.","Вы можете видеть историю своего прогресса. Чтобы продолжать медитировать, пожалуйста, продлите подписку"
renewDescription,,Renew subscription,Продлить подписку
unsavedChanges,,You have unsaved changes,У вас есть несохраненные изменения
unsavedChangesMessage,,"If you go back now, your information won't be saved.","Если вы вернетесь назад сейчас, информация не сохранится."
discard,,Discard,Сбросить изменения и выйти
continueEditing,,Continue Editing,Продолжить редактирование
newHabit,,New Habit,Новая привычка
syncFinishSuccessfully,,Sync finished successfully,Синхронизация успешно завершена
moreAbout,,More About,Узнать больше
permissionForStorageMessage,,Please provide access to the storage so that you can upload images,"Пожалуйста, откройте доступ, чтобы загрузить фотографию"
permissionForPhotosMessage,,"Please provide access to photos, so that you can upload images","Пожалуйста, откройте доступ к галерее, чтобы загрузить фотографию"
permissionForCameraMessage,,Please provide access to the camera in order for you to take a photo,"Пожалуйста, дайте доступ к камере, чтобы сделать фотографию"
permissionForNotificationMessage,,Please provide access to the notifications in order for you to get reminders,"Пожалуйста, откройте доступ к уведомлениям, чтобы получать напоминания"
loading,,Loading...,Загружается...
keyResultsNameHint,,"e.g., Save 200$ in a month","Например, сэкономить 200$ в месяц"
triggersDescriptionBuildHabit,,"Select triggers, e.g. ""I will do X after eating breakfast"". They are routine tasks that you already do on autopilot.","Выберите триггеры, например ""Я сделаю X сразу после того, как позавтракаю"". Триггеры - это рутины, задачи, которые вы уже делаете постоянно или автоматически."
triggersDescriptionBreakHabit,,"Emotional states and locations often trigger negative habits. E.g., you may overeat when you feel stressed.","Эмоциональное состояние или место часто являются триггерами плохих привычек. Например, человек может переедать в стрессе."
tieToLifeSphereTitle,,Tie to life sphere,Привязать к сфере жизни
tieToLifeSphereOrGoalTitle,,Tie to life sphere or goal,Привязать к сфере жизни или цели
tieToLifeSphereSubtitle,,To track time you dedicate to each sphere and keep balance in life.,"Это позволит отслеживать, сколько времени вы тратите на каждую сферу и сохранять баланс в жизни."
chooseIcon,,Choose icon,Выбрать иконку
chooseIconDescription,,Add a visual tag that will help you organize all related tasks and habits.,Это поможет визуализировать цель и видеть привязанные к ней задачи.
or,,Or,Или
condition,,Condition,Условие
wellDone,,Well done!,Отличная работа!
youStayFocusedFor,,You've stayed focused for,Вы были сфокусированы
focusDialogMessage,,The Pomodoro session helps you resist distractions and train your brains to stay focused.,Фокус-таймер помогает вам противостоять отвлекающим факторам и концентрироваться на задаче.
newGoal,,New Goal,Новая цель
confirmAccountDialogTitle,,Please confirm your account,"Пожалуйста, подтвердите ваш аккаунт"
confirmAccountDialogSubtitle,,"If you don't remember your password, please reset it first and then come back to change your email.","Если вы не помните пароль, сбросьте его и запросите новый."
incorrectPasswordDialogSubtitle,,The password you entered is incorrect. Please check and try again.,"Пароль не верный. Пожалуйста, проверьте его и попробуйте еще раз."
introCongratulationsText,,You’ve successfully embarked on your self-improvement journey 🚀 Listen to the meditation scheduled for today. It will fuel your productivity and motivation!,"Вы успешно начали свой путь самосовершенствования 🚀 Послушайте медитацию, запланированную на сегодня. Это повысит вашу продуктивность и мотивацию!"
thankYou,,Thank you,Спасибо
weeks,,Weeks,Недели
week,,Week,Неделя
partTitleHint,,"e.g., Open a savings account","Например, открыть сберегательный счет"
partDialogMessage,,All tasks and habits attached to this part will be deleted.,"Все задачи и привычки, привязанные к этому этапу, будут удалены."
congratsDoneTask,,CONGRATS! THE TASK IS DONE!,ПОЗДРАВЛЯЕМ! ЗАДАЧА ВЫПОЛНЕНА!
congratsDoneAllTasks,,CONGRATS! ALL TASKS ARE DONE!,ПОЗДРАВЛЯЕМ! ВСЕ ЗАДАЧИ ВЫПОЛНЕНЫ!
setATask,,SET A TASK TO TRACK YOUR PROGRESS,ЗАПЛАНИРУЙТЕ ЗАДАЧУ И СКОНЦЕНТРИРУЙТЕСЬ НА НЕЙ
timeForAShortBreak,,Time for a short break!,Время сделать короткий перерыв
timeForALongBreak,,Time for a long break!,Время сделать длинный перерыв
timeToFocus,,Time to focus!,Время сфокусироваться на задаче!
premiumDone,,Watch,Посмотреть
preparingGoalTitle,,Preparing your Goal,Готовим для вас цель
preparingGoalTile1,,Adding all tasks to the calendar,Планируем задачи в календаре
preparingGoalTile2,,Placing the habits to the to-do list,Добавляем привычки в список дел
preparingGoalTile3,,Setting notifications and smart reminders,Устанавливаем напоминания
goalChanged,,Goal selected,Цель выбрана
sphereChanged,,Sphere selected,Сфера выбрана
interrupted,,Interrupted,Прервано
overall,,Overall,Всего
deleted,,Deleted,Удалено
created,,Created,Создано
inviteFriend,,Invite a friend,Позвать друга
premium,,Premium,Премиум
timeNotSetText,,Select Time to enable Reminder,"Выберите время, чтобы включить напоминание"
noNotificationPermissionText,,Tap to turn on notifications,"Нажмите, чтобы включить уведомление"
change,,Change,Изменить
viewDetails,,View details,Подробнее
deepLinkRepeatActivationTitle,,The link has already been activated.,Ссылка уже была активирована.
deepLinkRepeatActivationSubtitle,,You are logged in via this link now.,Вы уже зашли в приложение под этой ссылкой.
deepLinkInactiveTitle,,This link can’t be activated.,Ссылка не может быть активирована.
deepLinkInactiveSubtitle,,"Please, contact the person in your team who gave you the link.","Пожалуйста, обратитесь к сотруднику, который выдал вам ссылку."
deepLinkChangeCompanyTitle,,You are already logged in.,Вы уже залогинены с активной ссылкой.
deepLinkChangeCompanySubtitle,,Do you want to change your company? Your data will be lost.,Хотите сменить компанию? Вы можете потерять введённые данные.
changeCompanyButton,,"Yes, I want to change it","Да, ввести новую ссылку"
companyWelcomeAdvantage1Subtitle,,"You have full access to all features, templates, and content.","Вам открыт полный доступ к функционалу, шаблонам и контенту."
companyWelcomeAdvantage2Title,,Confidentiality,Конфиденциальность
companyWelcomeAdvantage2Subtitle,,"Your data belongs to you - we don’t share it with companies, coaches, etc.",Ваши данные принадлежат вам - мы не разглашаем их третьим лицам.
companyWelcomeAdvantage3Title,,Special Content,Специальный контент
companyWelcomeAdvantage3Subtitle,,Congrats! You have unique access to content that is not available for all.,"Поздравляем! Вам доступен особый контент, который есть не у всех пользователей."
challengeTipTitle,,Challenge,Челлендж
challengeTipDescription,,"Challenges in {appName} are open for the whole community for a limited time period, so once you see a new challenge, don't miss the opportunity to try new things, keep life variety high without putting too much pressure on yourself.
Committing to a challenge provides the boost to get started making positive changes. The daily repetition increases your chances to adopt new desired behaviors. Every day of the challenge brings you small successes and community support which can help motivate you to keep going.
Keep noted that not all attributes in the challenges might be edited because you want to stay in the same format with other users 😉","Челлендж в переводе с английского означает ""вызов"". В {appName} челленджи - цели, которые мы предлагаем всем пользователям для совместного прохождения. По правилам, задания нужно выполнять регулярно в течение конкретного срока (например, стоять в планке 30 дней подряд).
Челленджи доступны ограниченное время, поэтому не зевайте и принимайте вызов, чтобы получить дополнительную мотивацию, сделать или добиться чего-то, что вас вдохновляет.
Кстати, не все атрибуты можно редактировать, чтобы сохранялись общие рамки челленджа 😉"
challengeDetailsLearnMoreTitle,,Challenge is the time-bound goal consisting of small tasks and changes you do alongside other participants.,"Цель для общего прохождения, ограниченная по времени."
search,,Search,Искать
filter,,Filter,Фильтр
filterAction,,Filter,Фильтровать
sortBy,,Sort by,Сортировать по
status,,Status,Статус
notStarted,,Not started,Не начат
category,,Category,Категория
noMatchesFound,,No matches found.,Совпадений не найдено.
waitingToSearch,,Waiting to search through your data and templates.,Ищем в ваших данных и шаблонах.
none,,None,Отсутствует
goalTemplates,,Goal templates,Шаблоны целей
taskTemplates,,Task templates,Шаблоны задач
habitTemplates,,Habit templates,Шаблоны привычек
habitAdded,,Habit added,Привычка добавлена
goalAdded,,Goal added,Цель добавлена
daily,,Daily,Ежедневная
noteTitleHint,,Add a note title,Добавьте заголовок заметки
noteTextFieldHint,,Start writing a note,Начните писать заметку
sendCopy,,Send,Отправить копию
untitled,,Untitled,Безымянный
deleteNote,,Delete Note,Удалить заметку
deleteNoteWarning,,All note data will be deleted.,Все данные заметки будут удалены.
sortByMood,,Sort by mood,Сортировать по настроению
dailyNote,,Daily note,Ежедневная заметка
dailyNotes,,Daily notes,Ежедневные
dailyCheckIn,,Daily Check-In,Ежедневные
addDailyNote,,Add daily note,Добавить ежедневную заметку
customNotes,,Custom notes,Пользовательские
favoriteNotes,,Favorite notes,Любимые
createNotes,,Create notes,Создать заметки
previous,,Previous,Назад
streakButtonText,,Great! Let’s overview exercise,Открыть заметку
showTodaysNote,,Show today's note,Показать заметку на сегодня
showNote,,Show note,Показать заметку
start,,Start,Начать
dailyNoteTabSubtitle,,Journaling is a keystone habit that could change your life.,Ведение дневника - одна из ключевых привычек для ментального здоровья.
dailyNoteTabSubtitleWithCalendar,,You can pick any date to see or create a note.,"Выберите любую дату, чтобы посмотреть или создать заметку."
dailyNoteAdvantage1Title,,Track your mood,Дневник настроения
dailyNoteAdvantage1Subtitle,,Get regular insights and learn more about yourself.,Управляйте эмоциями и больше узнавайте о себе.
dailyNoteAdvantage2Title,,Reflect on a day,Рефлексия дня
dailyNoteAdvantage2Subtitle,,See what went well and want can be improved.,"Отмечайте, что прошло хорошо, а что можно улучшить."
dailyNoteAdvantage3Title,,Practice gratitudes,Практика благодарности
dailyNoteAdvantage3Subtitle,,Train your mind to focus on positive things and experience greater happiness.,Тренируйте мозг замечать больше позитивных событий в жизни.
dailyNoteTipText,,"Scientific studies have found that keeping daily notes reduces stress, creates order in your mind when you feel like life is scattering. Putting thoughts and feelings into words activates the prefrontal cortex which diminishes emotional reactivity and brings more calm to your life. It also helps to detach, let go of the past and see valuable insights.","Научные исследования показали, что ежедневное ведение дневника уменьшает стресс и дает ощущение порядка в голове. Обращение мыслей и чувств в слова активирует префронтальную кору, которая снижает эмоциональную реакцию и приносит больше спокойствия в вашу жизнь. Это также помогает отстраниться, отпустить прошлое и увидеть ценные идеи."
streakTitle,,Keep tracking your mood,Продолжайте отслеживать свое настроение
streakMood1,,"Things may look dark at the moment, but remember that bad times always pass.","Сейчас все может выглядеть мрачно, но помните, что плохие времена всегда проходят."
streakMood2,,"Even if today you feel down, try to keep your spirits up and recognize good things in life.","Даже если сегодня вы чувствуете себя подавленным, постарайтесь замечать то хорошее, что есть в вашей жизни."
streakMood3,,"Some days you may feel moderate emotions, gratitude practice helps you focus on positive things in your life.","В некоторые дни мы испытываем умеренные эмоции, а практика благодарности помогает сосредоточиться на положительных моментах и проживать больше счастливых дней."
streakMood4,,It’s amazing to see that things are going well and you are feeling positive. Great attitude!,"Прекрасно, что все идет хорошо, и вы не унываете!"
streakMood5,,It’s great to see that you are enjoying your life.,"Замечательно, что вы наслаждаетесь жизнью и отлично себя чувствуете!"
streamWithNoMood,,Text with empty mood after,Text with empty mood after
allStepsEmptyDialogTitle,,All steps are empty,Все поля не заполнены
allStepsEmptyDialogText,,Please turn back and fill at least one step,"Пожалуйста, вернитесь назад и заполните хотя бы один шаг"
moodBottomSheetTitle,,How are you today?,Как вы чувствуете себя сегодня?
notesTabPlaceholder,,"Press + then ""note"" to write down your thoughts, insights and ideas.","Нажмите +, а затем ""заметка"" и запишите ваши мысли, идеи и настроение."
mood,,Mood,Настроение
after,,After,После
before,,Before,До
step2hint,,What made you feel proud? What made today great?,Чем вы гордитесь сегодня? Что вас обрадовало?
step3hint,,What lessons did you learn? How could you have made today even better?,Какие уроки вы вынесли? Как можно было бы прожить сегодняшний день лучше?
step4hint,,"Write about people, events, or items in your life that you’re thankful for and why. What skills or abilities are you grateful to have?","Напишите о людях, питомцах, событиях, вещах или местах в вашей жизни, за которые вы благодарны. Что есть в вас самих, что вызывает чувство благодарности, какие навыки, возможности?"
selectMoodAfterAction,,Select mood after,Выбрать настроение после
dateSet,,Date set,Дата установлена
taskCreatedOnSetDate,,Task is created on the set date,Задача создана на выбранную дату
noteCreated,,Note created,Заметка создана
close,,Close,Закрыть
dayStreak,,{daysCount} Day Streak,{daysCount} - дней подряд
goalTemplate,,Goal template,Шаблон цели
habitTemplate,,Habit template,Шаблон привычки
showTip,,Show tip,Показать подсказку
commitGoalSubtitle,,This goal will be added to your to-do list.,Цель будет добавлена в ваш список задач.
sendSubtitle,,Recommend this template to a friend.,Рекомендовать шаблон другу.
sphere,,Sphere,Сфера
recurringTask,,Recurring task,Повторяющаяся задача
showDetails,,Show details,Показать детали
dailyNoteStep1,,How are you feeling today?,Как вы себя чувствуете?
dailyNoteStep2,,What went well today?,Что сегодня прошло хорошо?
dailyNoteStep3,,What can be improved?,Что можно улучшить?
dailyNoteStep4,,List three things you are grateful for.,"Перечислите три вещи, за которые вы благодарны."
dailyNoteStep5,,How are you feeling now?,Как вы себя теперь чувствуете?
recurringTaskAccomplished,,Recurring task accomplished,Повторяющаяся задача выполнена
noteDeletedByUser,,Note has been deleted by user,Заметка была удалена пользователем
taskDeletedByUser,,Task has been deleted by user,Задача была удалена пользователем
goalDeletedByUser,,Goal has been deleted by user,Цель была удалена пользователем
habitDeletedByUser,,Habit has been deleted by user,Привычка была удалена пользователем
dontAllow,,Don't allow,Не разрешать
system,,System,Системный
applicationLanguage,,Interface Language,Язык интерфейса
contentLanguage,,Content Language,Языки контента
revertSettings,,Restore to Default Settings,Сбросить настройки
calendarStarts,,Week Start on,Начало недели
showDetailsSubtitle,,"Show all task and habit attributes like repetition, etc.","Показать все атрибуты задачи и привычки, такие как повторение, продолжительность и т. д."
resetSettingsMessage,,Are you sure to restore to default settings?,"Вы уверены, что хотите сбросить к стандартным настройкам?"
selfCare,,Self-care,Уход за собой
groupByType,,Group by type,Группировать по типу
notificationsRequestTitle,,Don't procrastinate your better life,Не откладывайте свою лучшую жизнь на потом
notificationsRequestSubtitle,,Get reminders about your goals,Получайте напоминания о ваших целях
turnOn,,Turn on,Включить
maybeLater,,Maybe Later,Позже
tasksWithoutDate,,Tasks without date,Задачи без даты
goalsWithoutDate,,Goals without target date,
notifications,,Notifications,Уведомления
myDayDailyNoteCardReminderTitle,,Answer today’s journal questions,Заполните дневник за сегодня
myDayMeditationCardReminderTitle,,Practice daily meditation,Практикуйте ежедневную медитацию
dailyNoteReminderTitle,,Daily Check-in,Напоминание о ежедневной заметке
dailyNoteReminderSubtitle,,Remind me to journal regularly,Напоминать мне регулярно вести дневник
showMyDayMeditationTipCardSettingsTitle,,Daily suggestions to meditate,Ежедневные рекомендации по медитации
showMyDayMeditationTipCardSettingsSubtitle,,Show me them on the Today tab,"Показывать их на вкладке ""Мой день"""
taskTemplate,,Task template,Шаблон задачи
cycleAndPeriod,,Cycle & Period,Цикл и период
cycleLength,,Cycle Length,Длина цикла
periodLength,,Period Length,Длина периода
logPeriod,,Log Period,Отметить период
menstrualPhase,,Menstrual Phase,Менструальная фаза
follicularPhase,,Follicular Phase,Фолликулярная фаза
ovulationPhase,,Ovulation Phase,Фаза овуляции
lutealPhase,,Luteal Phase,Лютеиновая фаза
delay,,Late Period,Задержка
newS,,New,Новый
dailyInsightsAndSelfCare,,Daily Insights and Self-Care,Ежедневные идеи и забота о себе
deleteAccountSubtitle,,"This will permanently erase all content including your tasks, habits, goals, notes, stats and progress.","Это навсегда удалит весь контент, включая ваши задачи, привычки, цели, заметки, статистику и прогресс."
shareEssence,,Share Essence,
shareEssenceSubtitle,,Help your friends to learn more about their bodies and unlock their superpower,
passcode,,Security code,
restoreSecurityCodePageTitle,,Welcome back to {appName},
signInToVerify,,"To reset your security code, please confirm your account.",
enablePrimarySettingTitle,,Enable Primary,
enablePrimarySettingSubtitle,,You will be able to put the most important task or habit of a day to the top of your to-do list.,
securityCodeSettingSubtitle,,You will be able to open the app with it and protect your data.,
security,,Security,
securityCodeSuccessfulResetTitle,,Your security code is reset,
securityCodeSuccessfulResetSubtitle,,You can set a new code in the settings to secure your data.,
setNewCode,,Set new code,
loggedIntoInvalidAccountMessage,,Please log in to the right account,
incorrectLoginOrPasswordMessage,,The login or password you entered is incorrect. Please check and try again.,
invalidEmail,,Invalid Email,
invalidPassword,,Invalid Password,
favorites,,Favorites,
meditations,,Meditations,
anonymousAlreadyLoggedIn,,Anonymous user already logged in,
loginCancelled,,Login cancelled by user,
linkWithAnonymousFailed,,Failed to link with anonymous account,
accountExists,,Account already exists,
dailyCheckInNotificationTitle,,Take 2 minutes of me-time,
dailyCheckInNotificationSubtitle,,Daily check-in is a simple way to take care of yourself and understand the roots of your mood changes 🌱,
logPeriodNotificationTitle,,Log your new cycle,
logPeriodNotificationSubtitle,,Don't forget to log your next period and get the forecast for each day ⏰,
latePeriodNotificationTitle,,Looks like your period is late,
latePeriodNotificationSubtitle,,Learn more about what can make your cycle irregular and how to fix it 🗓,
ovulationDayNotificationTitle,,You should be expecting ovulation,
ovulationDayNotificationSubtitle,,Your chance of getting pregnant is high 💚,
menstrualNextNotificationTitle,,Be on the lookout for your period,
menstrualNextNotificationSubtitle,,Don't forget to add a log and see how to lower period discomfort🩸,
follicularNextNotificationTitle,,The follicular phase is about to start,
follicularNextNotificationSubtitle,,Your energy levels are most likely rising. Get more insights 🚀,
ovulationNextNotificationTitle,,You are entering the ovulation phase,
ovulationNextNotificationSubtitle,,You will likely have your highest energy levels and rocking libido. Tap to learn more 💚,
lutealNextNotificationTitle,,The luteal phase will start tomorrow,
lutealNextNotificationSubtitle,,Find out how to take care of yourself and manage PMS 🤍,
myCycle,,My Cycle,
symptomsTracking,,Symptoms Tracking,
noSymptomsDataPlaceholder,,Add your symptoms for 7 days to see the trends and progress,
symptomsTrackingCardSubtitle,,Get to know your unique symptom patterns and analyze your data.,
interval,,Interval,
allTime,,All Time,
symptomsIntervalBottomSheetDescription,,Choose any interval longer than 1 week that you want to analyze.,
symptoms,,Symptoms,
mostFrequent,,Most Frequent,
symptomsBottomSheetDescription,,Выберите отобразить 6 самых частых симптомов или выберите до 6 своих,
cycleStats,,Cycle Stats,
cycleStatsDescription,,Your average cycle and period length,
cycle,,Cycle,
cycles,,Cycles,
period,,Period,
currentCycle,,Current Cycle,
emptyCyclesPlaceholderText,,Please log in your data to see predictions on your cycle,
symptomsOutsideCycle,,Symptoms outside Cycle,
unavailable,,Unavailable,
latePeriodInfoSubtitle,,,
selfRoutinesTitle,,Self-care routines for today,
selfRoutinesSubtitle,,"Add a couple of healthy activities to
take care of yourself",
letsBegin,,Let’s begin,
age,,Age,
personalInfo1,,Go back to add your personal info,
personalInfo2,,Your Personal Info,
sevenDayPlanReady,,Your 7-day plan is ready!,
sevenDayPlanReadySubtitle,,Complete a few daily self-care routines to feel better than ever,
whenYourBirthday,,When is your birthday?,
whenYourBirthdaySubtitle,,This information will help us to give you the most relevant recommendations,
iDontRemember,,I don't remember,
logDates,,Log your previous period dates,
logDatesSubtitle,,"Once you add the first day of your previous period, we’ll be able to show all 4 phases of your cycle",
keepPersonalizing,,Keep personalizing,
averageLastPeriodTitle,,How many days does your period last on average?,
averageLastPeriodSubtitle,,We need to know you better to create a personalized plan and give accurate predictions,
choose3Goals,,Choose up to 3 goals that matter the most to you,
increaseEnergyLevel,,Increase energy level,
balanceMood,,Balance mood,
improveSleepQuality,,Improve sleep quality,
boostEfficiency,,Boost efficiency,
easePeriodPain,,Ease period pain,
reduceStress,,Reduce stress,
getInShape,,Get in shape,
improveSkinCondition,,Improve skin condition,
brightenSexLife,,Brighten sex life,
soundsGreat,,Sounds great!,
onboardingPage8Title,,"Follow our daily guidance on nutrition, exercise, and scheduling work activities",
onboardingPage7Title,,Do you want to unlock the hidden strengths of each phase of your cycle?,
sure,,Sure,
great,,Great,
onboardingPage6,,Essence helps to build healthy routines that improve your well-being in a holistic way,
onboardingPage5Title,,Did you know that you can ease your symptoms without taking medicine?,
nice,,Nice,
onboardingPage4Title,,Our experts are here to help you learn more about your body throughout your cycle,
onboardingPage3Title,,Are you aware that your menstrual cycle affects your overall well-being?,
essence,,Essence,
essenceBenefit1,,Supported by nonprofits that aim to close the gender gap,
essenceBenefit2,,We respect your data and don't sell it,
essenceBenefit3,,Made by a diverse team and scientists,
onboardingPage1Title,,Transform your periods into your superpower,
onboardingPage1Subtitle,,Science-based way to feel great and turn your cycle into a productivity tool,
preparingGoalPageTitle,,Preparing your science-based well-being plan,
preparingGoalPageChecklist1,,Tailoring daily insights,
preparingGoalPageChecklist2,,Selecting self-care routines,
preparingGoalPageChecklist3,,Improving cycle predictions,
selectedCycle,,Selected Cycle,
times,,Times,
symptomStats,,Symptom Stats,
phase,,Phase,
selectedSymptom,,Selected Symptom,
lastCycle,,Last Cycle,
tracking,,Tracking,
noSymptoms,,There are no symptoms,
loremIpsum,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque fringilla lectus eget pulvinar dapibus. Donec at sem id enim eleifend.",
andMore,,and more...,
timeAlgorithmSuggestedMsg,,We have suggested {time} as the most suitable time for you.,
dateAlgorithmSuggestedMsg,,We have suggested {date} as the most suitable date for you.,
planning,,Planning,
organizing,,Organizing,
reflection,,Reflection,
study,,Study,
complexTask,,Complex task,
newProject,,New project,
creativity,,Creativity,
networking,,Networking,
publicSpeaking,,Public speaking,
focused,,Focused,
administrative,,Administrative,
tediousWork,,Tedious Work,
noLoggedOrLatePeriodTitle,,No logged periods or late period,
noLoggedOrLatePeriodMsg,,"We have found that you have no logged periods or have late period. Because of this, the prognosis will be poor. Please write down your current period to better predict.",
workingTime,,Working Time,
workingDays,,Working Days,
allDay,,All Day,
workingTimePickerMsg1,,It's great that you all make it! It is possible that for big goals you need a little more time!,
workingTimePickerMsg2,,Please be careful with such a busy schedule. Burnout and problems in other areas of life can be caused by constant overwork!,
workingTimePickerMsg3,,You have {hours} hours of work time. We wish you productive work!,
smartAlgorithms,,Smart Algorithms,
taskNotificationMsg,,It's {name} time!,
cantFindOptimalDate,,Can't find optimal date,
cantFindOptimalTime,,Can't find optimal time,
moreInfo,,More info,
intelligentScheduling,,Intelligent Scheduling,
